"","X.3","X.2","X.1","X","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1.","City","days"
"366",366,366,366,"2020-03-15",19.3333333333333,57.6666666666667,11.6666666666667,0.7,35,88.6666666666667,19.6666666666667,970.666666666667,1.4,9.66666666666667,4.60416666666667,0,0,0,0,"Linfen",53
"367",367,367,367,"2020-03-16",23.6666666666667,61,15.6666666666667,0.866666666666667,41.3333333333333,92,26.3333333333333,970,1.13333333333333,10,4.66073333333333,0,0,0,0,"Linfen",54
"368",368,368,368,"2020-03-17",30.3333333333333,73.6666666666667,20.3333333333333,1.06666666666667,48,92.6666666666667,33.3333333333333,967.333333333333,1.13333333333333,11.3333333333333,4.71793333333333,0,0,0,0,"Linfen",55
"369",369,369,369,"2020-03-18",32.3333333333333,89.3333333333333,19.6666666666667,1,45,98.6666666666667,30.6666666666667,965,1.63333333333333,12.6666666666667,4.733,0,0,0,0,"Linfen",56
"370",370,370,370,"2020-03-19",29,107.333333333333,15.6666666666667,0.866666666666667,39.3333333333333,99,20,963.666666666667,2.96666666666667,13.6666666666667,4.7358,0,0,0,0,"Linfen",57
"371",371,371,371,"2020-03-20",31.3333333333333,124.666666666667,15.3333333333333,0.933333333333333,40,104.333333333333,16.3333333333333,961.666666666667,2.46666666666667,13.6666666666667,4.78336666666667,0,0,0,0,"Linfen",58
"372",372,372,372,"2020-03-21",33,123.666666666667,16,0.933333333333333,41,102.666666666667,20.6666666666667,959.666666666667,1.96666666666667,14.5,4.82296666666667,0,0,0,0,"Linfen",59
"373",373,373,373,"2020-03-22",36,110.333333333333,24.3333333333333,1.06666666666667,47,110.333333333333,23,959,0.9,16,4.89006666666667,0,0,0,0,"Linfen",60
"374",374,374,374,"2020-03-23",35,95.6666666666667,23.6666666666667,1,43,123.666666666667,25,960.666666666667,0.9,16.8333333333333,4.90776666666667,0,0,0,0,"Linfen",61
"375",375,375,375,"2020-03-24",35,86.6666666666667,22,1,40.6666666666667,142.666666666667,26,962.333333333333,1.4,17.6666666666667,4.93373333333333,0,0,0,0,"Linfen",62
"376",376,376,376,"2020-03-25",39.6666666666667,83,13.6666666666667,0.9,34.3333333333333,156.666666666667,36,961,1.4,17.6666666666667,4.95213333333333,0,0,0,0,"Linfen",63
"377",377,377,377,"2020-03-26",35,77.3333333333333,9.66666666666667,0.733333333333333,27.6666666666667,129.333333333333,42.6666666666667,957.666666666667,1.4,16.8333333333333,4.8229,0,0,0,0,"Linfen",64
"378",378,378,378,"2020-03-27",32.6666666666667,67.3333333333333,10,0.666666666666667,26.6666666666667,101.333333333333,56.6666666666667,961.666666666667,1.4,13.5,4.80993333333333,0,0,0,0,"Linfen",65
"379",379,379,379,"2020-03-28",31.3333333333333,63.6666666666667,10.3333333333333,0.666666666666667,28.3333333333333,73.3333333333333,62.6666666666667,966.333333333333,1.9,10.3333333333333,4.7309,0,0,0,0,"Linfen",66
"380",380,380,380,"2020-03-29",34.6666666666667,62.3333333333333,13.6666666666667,0.766666666666667,31.6666666666667,89.6666666666667,54.3333333333333,970.666666666667,1.9,9.33333333333333,4.86043333333333,0,0,0,0,"Linfen",67
"381",381,381,381,"2020-03-30",39,70,12.3333333333333,0.833333333333333,33.6666666666667,105.666666666667,49,968,1.9,10.8333333333333,4.89576666666667,0,0,0,0,"Linfen",68
"382",382,382,382,"2020-03-31",46.6666666666667,82,15.3333333333333,0.966666666666667,35.3333333333333,116.666666666667,41.3333333333333,965.333333333333,2.46666666666667,12.6666666666667,4.9976,0,0,0,0,"Linfen",69
"383",383,383,383,"2020-04-01",51.6666666666667,87.3333333333333,14.3333333333333,1.03333333333333,37.6666666666667,97,50,963.666666666667,2.46666666666667,14,4.873,0,0,0,0,"Linfen",70
"384",384,384,384,"2020-04-02",54.6666666666667,85,18,1.06666666666667,37,89.6666666666667,59.3333333333333,965.666666666667,2.46666666666667,13,4.86503333333333,0,0,0,0,"Linfen",71
"385",385,385,385,"2020-04-03",50.3333333333333,78,18,1.06666666666667,38.6666666666667,88.6666666666667,70.3333333333333,968.666666666667,1.9,12.6666666666667,4.8759,0,0,0,0,"Linfen",72
"386",386,386,386,"2020-04-04",53.3333333333333,82.3333333333333,20.6666666666667,1.1,40,115.666666666667,73,971.333333333333,1.9,13.1666666666667,5.07896666666667,0,0,0,0,"Linfen",73
"387",387,387,387,"2020-04-05",50,89.3333333333333,17.6666666666667,1.06666666666667,40.3333333333333,133,56,971.666666666667,1.4,15.1666666666667,5.1492,0,0,0,0,"Linfen",74
"388",388,388,388,"2020-04-06",47.3333333333333,91,17.3333333333333,0.966666666666667,41.6666666666667,145.333333333333,43,970.333333333333,1.4,16.6666666666667,5.09726666666667,0,0,0,0,"Linfen",75
"389",389,389,389,"2020-04-07",42.6666666666667,86.6666666666667,16.3333333333333,0.933333333333334,43.6666666666667,144.333333333333,38.6666666666667,968,1.4,17.8333333333333,5.04676666666667,0,0,0,0,"Linfen",76
"390",390,390,390,"2020-04-08",44.3333333333333,91,18.3333333333333,0.966666666666667,44.6666666666667,136.333333333333,39.3333333333333,964.666666666667,1.9,18.3333333333333,5.0104,0,0,0,0,"Linfen",77
"407",407,407,407,"2020-02-07",31,40.3333333333333,7,0.666666666666667,13.3333333333333,73.6666666666667,74.3333333333333,1017,4.33333333333333,0.166666666666667,1.5916,0.006562234,7,2.07944154167984,0.00654079627759002,"Linyi",16
